club,last_name,first_name,position,base_salary,guaranteed_compensation
Colorado Rapids,Dykstra,Andrew,GK,100008.0,107658.51
Portland Timbers,Ebobisse,Jeremy,F,140000.0,203000.0
Chicago Fire,Edwards,Raheem,F,55654.2,55654.2
Orlando City SC,Edwards,Earl,GK,68250.0,68250.0
Houston Dynamo,Elis,Alberth,F,650340.0,650340.0
Philadelphia Union,Elliott,Jack,D,59629.5,59629.5
DC United,Ellis,Kevin,D,150000.0,158333.33
Orlando City SC,El-Mounir,Mohammed,D,174999.96,192833.29
Vancouver Whitecaps,Emnes,Marvin,F,69996.0,159829.33
Philadelphia Union,Epps,Marcus,M,55654.2,55654.2
San Jose Earthquakes,Eriksson,Magnus,F,399999.96,399999.96
Atlanta United,Escobar,Franco,D,250008.0,250008.0
New York Red Bulls,Escobar,Fidel,D,145000.08,145000.08
Sporting Kansas City,Espinoza,Roger,M,900000.0,900000.0
New York Red Bulls,Etienne,Derrick,M,68500.0,73500.0
Sporting Kansas City,Evans,Brad,D-M,200000.04,200000.04
New England Revolution,Fagundez,Diego,M,170000.0,190000.0
Montreal Impact,Fanni,Rod,D,1200000.0,1225000.0
Portland Timbers,Farfan,Marco,D,64500.0,64500.0
New England Revolution,Farrell,Andrew,D,182600.0,267600.0
LAFC,Feilhaber,Benny,M,625000.0,625000.0
San Jose Earthquakes,Felipe,Luis,M,67500.0,68500.0
LA Galaxy,Feltscher,Rolf,D,240000.0,270000.0
Sporting Kansas City,Fernandes,Gerso,F-M,550008.0,591258.0
Minnesota United,Fernando,Luiz,M,275000.04,314166.71
FC Dallas,Ferreira,Jesus,F,54500.0,54500.0
